# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.8875,6.2782,0.7266,0.7266
-0.8875,6.2653,0.7270,0.7270
-0.8875,6.2524,0.7269,0.7269
-0.8875,6.2396,0.7261,0.7261
-0.8875,6.2269,0.7248,0.7248
-0.8875,6.2142,0.7232,0.7232
-0.8875,6.2015,0.7214,0.7214
-0.8875,6.1888,0.7196,0.7196
-0.8875,6.1760,0.7180,0.7180
-0.8875,6.1632,0.7167,0.7167
-0.8875,6.1503,0.7156,0.7156
-0.8875,6.1373,0.7147,0.7147
-0.8875,6.1244,0.7140,0.7140
-0.8875,6.1114,0.7134,0.7134
-0.8875,6.0985,0.7129,0.7129
-0.8875,6.0855,0.7126,0.7126
-0.8875,6.0725,0.7123,0.7123
-0.8875,6.0595,0.7122,0.7122
-0.8875,6.0465,0.7121,0.7121
-0.8875,6.0335,0.7120,0.7120
-0.8875,6.0205,0.7121,0.7121
-0.8875,6.0075,0.7121,0.7121
-0.8875,5.9945,0.7123,0.7123
-0.8875,5.9814,0.7124,0.7124
-0.8875,5.9684,0.7125,0.7125
-0.8875,5.9554,0.7126,0.7126
-0.8875,5.9424,0.7127,0.7127
-0.8875,5.9294,0.7128,0.7128
-0.8875,5.9164,0.7129,0.7129
-0.8875,5.9035,0.7129,0.7129
-0.8875,5.8905,0.7128,0.7128
-0.8874,5.8775,0.7126,0.7126
-0.8874,5.8646,0.7124,0.7124
-0.8875,5.8515,0.7122,0.7122
-0.8876,5.8384,0.7121,0.7121
-0.8879,5.8251,0.7120,0.7120
-0.8870,5.8129,0.7132,0.7132
-0.8809,5.8061,0.7193,0.7193
-0.8751,5.7988,0.7248,0.7248
-0.8747,5.7862,0.7253,0.7253
-0.8751,5.7729,0.7249,0.7249
-0.8751,5.7599,0.7249,0.7249
-0.8749,5.7471,0.7251,0.7251
-0.8751,5.7339,0.7249,0.7249
-0.8754,5.7206,0.7246,0.7246
-0.8729,5.7101,0.7271,0.7271
-0.8670,5.7030,0.7330,0.7330
-0.8624,5.6945,0.7375,0.7375
-0.8614,5.6825,0.7386,0.7386
-0.8622,5.6688,0.7379,0.7379
-0.8629,5.6551,0.7372,0.7372
-0.8629,5.6421,0.7371,0.7371
-0.8627,5.6292,0.7373,0.7373
-0.8625,5.6164,0.7374,0.7374
-0.8624,5.6034,0.7374,0.7374
-0.8624,5.5905,0.7375,0.7375
-0.8623,5.5776,0.7375,0.7375
-0.8623,5.5646,0.7376,0.7376
-0.8623,5.5516,0.7376,0.7376
-0.8624,5.5386,0.7376,0.7376
-0.8624,5.5255,0.7376,0.7376
-0.8625,5.5125,0.7376,0.7376
-0.8625,5.4995,0.7376,0.7376
-0.8626,5.4864,0.7375,0.7375
-0.8627,5.4734,0.7375,0.7375
-0.8627,5.4604,0.7375,0.7375
-0.8627,5.4473,0.7375,0.7375
-0.8627,5.4343,0.7375,0.7375
-0.8627,5.4213,0.7374,0.7374
-0.8627,5.4083,0.7374,0.7374
-0.8626,5.3954,0.7374,0.7374
-0.8624,5.3824,0.7374,0.7374
-0.8623,5.3695,0.7375,0.7375
-0.8622,5.3566,0.7375,0.7375
-0.8621,5.3436,0.7375,0.7375
-0.8620,5.3307,0.7375,0.7375
-0.8621,5.3177,0.7375,0.7375
-0.8622,5.3046,0.7375,0.7375
-0.8625,5.2915,0.7375,0.7375
-0.8629,5.2783,0.7375,0.7375
-0.8634,5.2651,0.7375,0.7375
-0.8638,5.2519,0.7375,0.7375
-0.8635,5.2390,0.7375,0.7375
-0.8621,5.2266,0.7375,0.7375
-0.8591,5.2148,0.7375,0.7375
-0.8545,5.2038,0.7375,0.7375
-0.8504,5.1925,0.7375,0.7375
-0.8495,5.1798,0.7375,0.7375
-0.8504,5.1662,0.7378,0.7378
-0.8498,5.1538,0.7373,0.7373
-0.8458,5.1448,0.7334,0.7334
-0.8401,5.1375,0.7276,0.7276
-0.8363,5.1283,0.7238,0.7238
-0.8371,5.1145,0.7245,0.7245
-0.8380,5.1007,0.7254,0.7254
-0.8377,5.0879,0.7253,0.7253
-0.8375,5.0751,0.7251,0.7251
-0.8374,5.0623,0.7249,0.7249
-0.8374,5.0493,0.7248,0.7248
-0.8374,5.0362,0.7248,0.7248
-0.8375,5.0232,0.7248,0.7248
-0.8375,5.0101,0.7249,0.7249
-0.8376,4.9971,0.7251,0.7251
-0.8376,4.9841,0.7254,0.7254
-0.8375,4.9711,0.7258,0.7258
-0.8375,4.9581,0.7264,0.7264
-0.8375,4.9452,0.7272,0.7272
-0.8375,4.9323,0.7282,0.7282
